Feature,Correlation,Raw_Correlation
GCS_median,0.3018145337385703,-0.3018145337385703
GCS_max,0.2954409393767754,-0.2954409393767754
GCS_mean,0.28725747839062954,-0.28725747839062954
BUN_min,0.21617791281364715,0.21617791281364715
BUN_mean,0.21558570574086722,0.21558570574086722
BUN_median,0.21297808345141794,0.21297808345141794
BUN_max,0.21251211725630487,0.21251211725630487
GCS_trend,0.2054461119105234,-0.2054461119105234
Lactate_mean,0.2022958305627195,0.2022958305627195
Na_count,0.19707079798740051,0.19707079798740051
Lactate_median,0.19521964978156364,0.19521964978156364
Lactate_max,0.19237740481714502,0.19237740481714502
Glucose_count,0.1853217379629188,0.1853217379629188
HCO3_count,0.183236065157927,0.183236065157927
Lactate_min,0.17710178465564655,0.17710178465564655
Urine_mean,0.17443167293277448,-0.17443167293277448
BUN_count,0.17319432775395752,0.17319432775395752
K_count,0.17294857595712804,0.17294857595712804
HCO3_min,0.17242554793834058,-0.17242554793834058
Creatinine_count,0.1700475779411144,0.1700475779411144
HCO3_mean,0.1619608948736691,-0.1619608948736691
HCO3_median,0.16128312333109193,-0.16128312333109193
Lactate_count,0.1591487234677641,0.1591487234677641
Lactate_range,0.1526605012452405,0.1526605012452405
Mg_count,0.1511715469913282,0.1511715469913282
Urine_median,0.14453049408703927,-0.14453049408703927
MechVent_count,0.14277035375516633,0.14277035375516633
FiO2_count,0.1331161358832741,0.1331161358832741
Age,0.13035056222008845,0.13035056222008845
HCO3_max,0.12853760996360172,-0.12853760996360172
Na_range,0.12742014896126402,0.12742014896126402
total_records,0.12395308909105261,0.12395308909105261
HR_range,0.12050846908599529,0.12050846908599529
WBC_count,0.11967386401445183,0.11967386401445183
GCS_min,0.1185072398408776,-0.1185072398408776
HR_max,0.11561232345443694,0.11561232345443694
HCO3_trend,0.11352200729863636,-0.11352200729863636
Urine_std,0.11203241982427146,-0.11203241982427146
HR_std,0.1095398328861978,0.1095398328861978
Urine_max,0.10647873124751403,-0.10647873124751403
BUN_range,0.10598717182067771,0.10598717182067771
Na_max,0.1042623108769978,0.1042623108769978
HR_count,0.10426182844383308,0.10426182844383308
Platelets_count,0.10127565083410117,0.10127565083410117
SysABP_min,0.10082639733741776,-0.10082639733741776
SysABP_range,0.10059552587726303,0.10059552587726303
Glucose_range,0.10037298997258852,0.10037298997258852
FiO2_min,0.09996569288762022,0.09996569288762022
Urine_range,0.09989063647650159,-0.09989063647650159
Creatinine_max,0.09657312025113597,0.09657312025113597
